Position,Player Name,Team,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Image Link
118,Sumit Kumar,DC,4,3,1,18,9*,9.00,24,75.00,0,0,2,1,https://scores.iplt20.com/ipl/playerimages/Sumit%20Kumar.png?v=4
119,Piyush Chawla,MI,11,6,2,15,10,3.75,15,100.00,0,0,1,1,https://scores.iplt20.com/ipl/playerimages/Piyush%20Chawla.png?v=4
120,Sanvir Singh,SRH,4,3,2,14,8*,14.00,12,116.66,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Sanvir%20Singh.png?v=4
121,Trent Boult,RR,16,5,3,14,12,7.00,16,87.50,0,0,2,0,https://scores.iplt20.com/ipl/playerimages/Trent%20Boult.png?v=4
122,Mitchell Santner,CSK,3,3,0,14,11,4.67,17,82.35,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png?v=4
123,Gerald Coetzee,MI,10,5,1,14,8,3.50,22,63.63,0,0,0,1,https://scores.iplt20.com/ipl/playerimages/Gerald%20Coetzee.png?v=4
124,Sai Kishore,GT,5,2,1,13,13,13.00,6,216.66,0,0,0,2,https://scores.iplt20.com/ipl/playerimages/Sai%20Kishore.png?v=4
125,Harshal Patel,PBKS,14,4,1,13,12,4.33,19,68.42,0,0,1,1,https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png?v=4
126,Mohammed Siraj,RCB,14,3,1,12,12,6.00,8,150.00,0,0,0,2,https://scores.iplt20.com/ipl/playerimages/Mohammed%20Siraj.png?v=4
127,Darshan Nalkande,GT,3,1,0,12,12,12.00,11,109.09,0,0,0,1,https://scores.iplt20.com/ipl/playerimages/Darshan%20Nalkande.png?v=4
128,Jasprit Bumrah,MI,13,4,4,12,8*,-,12,100.00,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Jasprit%20Bumrah.png?v=4
129,Umesh Yadav,GT,7,2,1,12,10*,12.00,15,80.00,0,0,0,1,https://scores.iplt20.com/ipl/playerimages/Umesh%20Yadav.png?v=4
130,Avesh Khan,RR,16,3,3,10,7*,-,5,200.00,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Avesh%20Khan.png?v=4
131,Lalit Yadav,DC,2,2,0,10,7,5.00,12,83.33,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Lalit%20Yadav.png?v=4
132,Luke Wood,MI,2,1,1,9,9*,-,3,300.00,0,0,0,1,https://scores.iplt20.com/ipl/playerimages/Luke%20Wood.png?v=4
133,Arshin Atul Kulkarni,LSG,2,2,0,9,9,4.50,8,112.50,0,0,2,0,https://scores.iplt20.com/ipl/playerimages/Arshin%20Atul%20Kulkarni.png?v=4
134,Mitchell Starc,KKR,14,5,3,9,6*,4.50,11,81.81,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Starc.png?v=4
135,Abhinav Manohar,GT,2,2,0,9,8,4.50,16,56.25,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Abhinav%20Manohar.png?v=4
136,Donovan Ferreira,RR,2,2,0,8,7,4.00,11,72.72,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Donovan%20Ferreira.png?v=4
137,Vijayakanth Viyaskanth,SRH,3,1,1,7,7*,-,5,140.00,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
138,Spencer Johnson,GT,5,3,3,6,5*,-,7,85.71,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Spencer%20Johnson.png?v=4
139,Anmolpreet Singh,SRH,2,2,0,5,5,2.50,6,83.33,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Anmolpreet%20Singh.png?v=4
140,Noor Ahmad,GT,10,4,2,5,4,2.50,9,55.55,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Noor%20Ahmad.png?v=4
141,Arshdeep Singh,PBKS,14,1,0,4,4,4.00,3,133.33,0,0,1,0,https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png?v=4
142,Akash Madhwal,MI,5,1,1,4,4*,-,5,80.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Akash%20Madhwal.png?v=4
143,Matthew Wade,GT,2,1,0,4,4,4.00,6,66.66,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Matthew%20Wade.png?v=4
144,Ravi Bishnoi,LSG,14,3,0,4,2,1.33,6,66.66,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Ravi%20Bishnoi.png?v=4
145,Anrich Nortje,DC,6,2,0,4,4,2.00,8,50.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Anrich%20Nortje.png?v=4
146,Mohit Sharma,GT,12,3,1,4,4,2.00,15,26.66,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Mohit%20Sharma.png?v=4
147,Anukul Roy,KKR,4,1,1,3,3*,-,3,100.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Anukul%20Roy.png?v=4
148,Reece Topley,RCB,4,1,1,3,3*,-,6,50.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Reece%20Topley.png?v=4
149,Kumar Kushagra,DC,4,3,0,3,2,1.00,7,42.85,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Kumar%20Kushagra.png?v=4
150,Mukesh Kumar,DC,10,2,1,3,3,3.00,9,33.33,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Mukesh%20Kumar.png?v=4
151,Ricky Bhui,DC,2,2,0,3,3,1.50,9,33.33,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Ricky%20Bhui.png?v=4
152,Mohsin Khan,LSG,9,1,0,2,2,2.00,1,200.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Mohsin%20Khan.png?v=4
153,Richard Gleeson,CSK,2,1,1,2,2*,-,2,100.00,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
154,Jhye Richardson,DC,1,1,0,2,2,2.00,2,100.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Jhye%20Richardson.png?v=4
155,Anshul Kamboj,MI,3,1,1,2,2*,-,2,100.00,0,0,0,0,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
156,Akash Deep,RCB,1,1,1,2,2*,-,2,100.00,0,0,0,0,https://scores.iplt20.com/ipl/playerimages/Akash%20Deep.png?v=4
